PLAYER,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-
Klay Thompson,3,34.,8.,19.0,44.,6.,12.0,47.,1.0,1.,75.0,0.3,4.0,4.,2.,2.,0.3,0.3,3.,23.,2.0
"4111, Stephen Curry",3,33.0,9.,19.0,46.,4.,9.,46.,2.,2.,71.,0.7,4.0,5.,6.0,4.,1.0,0.3,3.,23.,--1.0
Andrew Wiggins,3,31.,5.0,11.0,46.,2.,4.,39.,2.,3.,88.,3.,4.,6.,3.,1.,0.0,0.7,2.,14.0,6.
Jordan Poole ,3,23.,4.0,10.0,40.0,2.0,6.,35.,0.7,1.0,67.,0.3,2.0,2.,5.0,2.,0.3,0.0,4.,11.,4.0
JaMychal Green,3,11.,3.0,6.0,50.0,2.,4.,39.,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.7,0.0,0.0,2.0,8.,-3.
P Jonathan Kuminga ,2,10.,2.0,4.0,50.0,1.0,1.0,100,2.,2.0,75.0,0.5,1.0,2.,0.5,0.5,0.0,0.0,0.5,7.,-5.
Draymond Green ,3,28.,3.0,8.,39.,0.0,1.0,0.0,0.3,1.,25.0,1.,4.,6.,7.,0.7,1.0,1.,4.0,6.,-7.
Kevon Looney ,3,19.0,3.0,6.0,50.0,0.0,0.0,0.0,0.3,0.7,50.0,4.,8.0,12.,3.0,1.,0.3,0.0,1.,6.,3.
Gary Payton II,3,11.,3.,4.,62.,0.0,1.0,0.0,0.3,0.7,50.0,2.,1.,4.,0.7,0.3,0.3,0.3,1.0,6.,-7.
"is, Moses Moody",3,17.,1.,4.0,33.,1.0,2.,60.0,1.,2.,80.0,1.,3.,4.0,1.,0.0,0.0,0.3,2.,5.0,-4.
Donte DiVincenzo ,3,21.,2.,6.0,28.,1.0,5.,21.,0.0,0.0,0.0,0.7,3.,4.0,3.,2.,0.7,0.7,1.0,4.,-2.
Anthony Lamb ,2,7.,0.5,2.,33.,0.5,2.,33.,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,2.,-2.
Patrick Baldwin Jr.,1,5.,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
