PLAYER,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-
Anthony Davis ,3,37.,8.,13.,58.,0.0,0.7,0.0,7.,7.0,95.,2.,13.,14.,4.0,3.,1.,4.,2.,22.0,2.
LeBron James ,3,34.,8.,18.,47.,2.0,7.,30.0,3.,4.0,83.,1.0,8.,9.,5.0,1.,0.3,1.,1.0,22.0,0.0
D'Angelo Russell ,3,30.0,7.,15.,50.0,2.0,5.,38.,0.0,0.3,0.0,0.3,2.0,2.,6.,2.0,1.0,0.3,2.,17.,-1.
Dennis Schroder ,3,23.,3.0,7.,41.,1.0,3.,38.,5.,6.0,78.,0.3,1.,2.,2.0,0.7,1.,0.0,2.,12.,-1.
Rui Hachimura,3,17.,4.0,6.,63.,2.,2.,71.,1.0,1.,75.0,1.0,1.,2.,0.7,1.0,0.7,0.0,1.0,11.,-4.
"jr, Lonnie Walker IV",2,18.,4.0,7.0,57.,2.,4.0,38.,1.0,1.0,100,0.0,2.0,2.0,0.5,0.5,2.,0.5,2.,11.,7.
Austin Reaves,3,31.0,3.0,9.,32.,1.,5.,29.,2.,2.,71.,1.0,3.,4.,2.,0.7,0.7,0.0,2.0,9.0,4.0
".72, Jarred Vanderbilt",3,20.,1.,6.,21.,0.7,3.,25.0,2.0,3.,60.0,3.,3.0,6.,1.0,0.7,0.7,0.7,2.,5.,0.7
Shaquille Harrison,2,9.,2.0,3.,80.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.5,0.5,3.,0.0,0.5,0.0,2.,5.,2.
Max Christie,2,8.,2.,2.0,75.0,0.0,0.5,0.0,1.0,2.0,50.0,0.0,2.,2.,1.0,0.0,0.0,0.0,0.0,4.0,4.
ITristan Thompson,2,9.,2.,4.,43.,0.0,0.0,0.0,0.5,2.0,25.0,2.,2.0,4.,1.0,0.5,0.0,0.0,0.5,4.,4.
Troy Brown Jr.,3,10.,0.7,2.,40.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.7,0.7,1.,0.0,0.0,0.0,0.7,2.,2.
",11, Malik Beasley",2,9.,0.5,3.0,17.,0.0,2.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,4.
Wenyen Gabriel,3,4.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.7,0.0,-1.
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
